codigo,titulo,diretor,pais,ano,duracao,produtora,festivais,premios,data_lancamento,tipo_duracao
1277,Do sertão á garoa (Of. Kino),"F&aacute;tima Melo, Jos&eacute; Ricardo de Moura, Josenaldo de Freitas, Mar&iacute;lia Ara&uacute;jo, Suely Sales.",Brasil,2007,6,Associação Cultural Kinoforum,": 18º Festival Internacional de Curtas Metragens de São Paulo; XV Festival de Vídeo de Teresina – FESTVIDEO, 2007.",Não informado,,Curta-metragem
1278,P... Que pariu! (Of. Kino),"Fernando Faria Freitas, Paulo Franco de Camargo, Rodrigo L. de Souza, Rog&eacute;rio Novaes",Brasil,2007,5,Associação Cultural Kinoforum,"18º Festival Internacional de Curtas Metragens de São Paulo, 1º Festival de Curtas de Mairiporã; Mostra Ticket de Cinema Brasileiro nas Periferias, 2007.",Não informado,,Curta-metragem
1279,Pelas calçadas (Of. Kino),"Nick Douglas de Morais Moreira, Lucas Maia Gon&ccedil;alves, David Duarte da Silva, Wictor Miranda Lima, Jessica Cavalcante Santos",Brasil,2008,6,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.",Não informado,,Curta-metragem
1280,O segredo das armas (Of. Kino),"Ana Paula Quintino de Oliveira, Patr&iacute;cia Cardoso Rodrigues, Fernanda Dantas Turvollo, Reginaldo Gomes Inoc&ecirc;ncio.",Brasil,2008,5,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.",Não informado,,Curta-metragem
1281,Baianinho (Of. Kino),Marcio Jose Moreno,Brasil,2008,9,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.Favela é Isso aí, 2009.",Não informado,,Curta-metragem
1282,Sortudo!? (Of. Kino),Gustavo Henrique da Silva Ribeiro,Brasil,2008,10,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008; Cinefavela 2008, Prêmio CineFavela de Curta Metragem. Favela é Isso ai, 2009.",Não informado,,Curta-metragem
1283,Pêmba (Of. Kino),Thiago Alberto Oliveira da Silva,Brasil,2008,11,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.",Não informado,,Curta-metragem
1284,OPS...! (Of. Kino),"Deise Silva, Juliete Bernardo, Marcela Diniz, Rodrigo Souza",Brasil,2009,4,Associação Cultural Kinoforum,"20º Festival Internacional de Curtas-Metragens de São Paulo, 2009.",Não informado,,Curta-metragem
1285,Enchente - Reflexão dos seus atos (Of. Kino),"Magda Gon&ccedil;alves, Michael de Jesus, Paulo Cardoso, William Nunes",Brasil,2009,4,Associação Cultural Kinoforum,"20º Festival Internacional de Curtas-Metragens de São Paulo, 2009.MOSCA 6 – Mostra Audiovisual de Cambuquira",Não informado,,Curta-metragem
1286,Voz do Torcedor (Of. Kino),"Danieli Barboza, C&iacute;cero Tiago, Nat&aacute;lia dos Santos, Patr&iacute;cia Tavares",Brasil,2009,5,Associação Cultural Kinoforum,"20º Festival Internacional de Curtas-Metragens de São Paulo, 2009",Não informado,,Curta-metragem
1287,Pronto pra recomeçar (Of. Kino),Deborah Azevedo; Rafael Azevedo; Renato Ramos; Talita Ap. Ribeiro; Williams Martins.,Brasil,2006,6,Associação Cultural Kinoforum,"20º Mostra do Audiovisual Paulista, 2006; 10ª Mostra de Cinema de Tiradentes, 2006, CurtaSe 6, 2006; 3º Festival de Jovens Realizadores do MERCOSUL,2007.",Não informado,,Curta-metragem
1288,Acorda! (Of. Kino),Aline de O. dos Santos; Camila de Carvalho Alves; Karina Cristaldo do Nascimento; Regis Talles de Lima; Vanessa Domingues Sobral.,Brasil,2006,5,Associação Cultural Kinoforum,"20º Mostra do Audiovisual Paulista, 2006; 10ª Mostra de Cinema de Tiradentes, 2006; 3º Festival de Jovens Realizadores do MERCOSUL,2007.",Não informado,,Curta-metragem
1289,X-Lobo (Of. Kino),"Deivison dos Santos, Felipe A. C. Lacerda, Felipe Fortes da Silva M. dos Santos, Rafael Fortes Silveira.",Brasil,2006,5,Associação Cultural Kinoforum,"20º Mostra do Audiovisual Paulista, 2006",Não informado,,Curta-metragem
1290,Sampa isso é sampismo (Of. Kino),"Amanda Aparecida de Melo, Ana Clara da Costa, Diego Batista Rodrigues, Jos&eacute; Fernando Gon&ccedil;alves, Flavio Andrade da Silva, Waldiael Braz Silva.",Brasil,2006,5,Associação Cultural Kinoforum,"20º Mostra do Audiovisual Paulista, 2006.",Não informado,,Curta-metragem
1291,Memórias de uma vida (Of. Kino),Djavam R Silva; J&eacute;ssica Danielle Hon&oacute;rio; Luziane D. Oliveira; Marielle B. Alves; Michelle N. Santos.,Brasil,2006,5,Associação Cultural Kinoforum,"20º Mostra do Audiovisual Paulista, 2006.",Não informado,,Curta-metragem
1292,Tribos (Of. Kino),"Elen Cristina de Marselha Silva, Glauber Alves da Silva, Juliana Cristina de Moura, Max Paulo da S. Fonseca, Paula Schnaider de Oliveira.",Brasil,2006,6,Associação Cultural Kinoforum,"20º Mostra do Audiovisual Paulista, 2006",Não informado,,Curta-metragem
1293,O enredo do meu samba,"Ad&iacute;lio Gon&ccedil;alves, Luiz Paulo da Silva, Paulo Henrique da Costa, Rafael Rodrigo de Araujo Veira, Wellington Valdevino Nobero",Brasil,2007,5,Associação Cultural Kinoforum,18º Festival Internacional de Curtas Metragens de São Paulo.,Não informado,,Curta-metragem
1294,Roda Baiana! (Of. Kino),"Cristina Adelina de Assun&ccedil;&atilde;o, Danilo Cruz Dainezi, Dilvania Ferreira de Santana, Fernanda dos Santos Ribeiro.",Brasil,2007,5,Associação Cultural Kinoforum,"18º Festival Internacional de Curtas Metragens de São Paulo, XV Festival de Vídeo de Teresina – FESTVIDEO, 2007, 1º Festival da cidade de Nova Iguaçu -IGUACINE, 2008, 21ª Mostra do audiovisual Paulista 2008.",Não informado,,Curta-metragem
1295,O resgate de Perus (Of. Kino),"C&aacute;tia Borges, Diane Dourado, L&aacute;zaro Reis, Talita Maria da Silva, Thays Souza.",Brasil,2007,5,Associação Cultural Kinoforum,18º Festival Internacional de Curtas Metragens de São Paulo.,Não informado,,Curta-metragem
1296,O mingau que virou tutu (Of. Kino),"Carlos Augusto Rodrigues, Eduardo Lisboa, Fabio Oliveira, Jorge Aparecido, Ricardo Vieira, Richelio Pereira.",Brasil,2007,5,Associação Cultural Kinoforum,18º Festival Internacional de Curtas Metragens de São Paulo.,Não informado,,Curta-metragem
1297,Vitrine do prazer (Of. Kino),"Andr&eacute;ia Franco, Loane Cibele, Regina Albano, Thais Silvestre.",Brasil,2007,6,Associação Cultural Kinoforum,"18º Festival Internacional de Curtas Metragens de São Paulo 2007, 21ª Mostra do audiovisual paulista 2007, 7ª Mostra do filme livre 2008, Mostra Taguatinga 2008.",Não informado,,Curta-metragem
1298,Contrariando as estatísticas (Of. Kino),"Evandro S. Alves, Heloisa Pereira Cassiano, Let&iacute;cia Rodrigues Faustino Gomes, Rafael H. Carmargo, Sabrina Santos Costa.",Brasil,2007,5,Associação Cultural Kinoforum,18º Festival Internacional de Curtas Metragens de São Paulo.,Não informado,,Curta-metragem
1299,Auto de azar (Of. Kino),"Aline Silva, Diego Lemos de Jesus, Ewerton Luiz, Lidiane Martins Ferreira, Renata Agudo, Robson Lima",Brasil,2007,5,Associação Cultural Kinoforum,18º Festival Internacional de Curtas Metragens de São Paulo.,Não informado,,Curta-metragem
1300,Chapeuzinho controverso (Of. Kino),"Lilian Pires Penha, Yasline Domingos Felix, Yasmin Cristina Domingos Felix.",Brasil,2007,5,Associação Cultural Kinoforum,18º Festival Internacional de Curtas Metragens de São Paulo.,Não informado,,Curta-metragem
1353,Na casa ao lado ,Naiara Rimoli,Brasil,2010,6,Não informado,Não informado,Não informado,,Curta-metragem
1354,Direita é a mão que você escreve,Paula Santos,Brasil,2009,15,PUC-Rio,"Curta Cinema 2009 (RJ)FAM 2010 (Florianópolis- SC) 9ª Mostra de Cinema Infantil de Florianópolis 2010 (SC) FBCU - Festival Brasileiro de Cinema Universitário 2010 (Rio de Janeiro-RJ) 21o. Festival Internacional de Curtas Metragens de São Paulo- 2010 (SP)Perro Loco 2010 (Goiânia- GO)Cinema com Farinha 2010 (Patos, PB)Primeiro Plano 2010 ( Juiz de Fora- MG)Festival Manuel Padeiro 2010 (Pelotas- RS)Festival Goiamum Audiovisual 2010 (Natal – RN)Cine Festival Inconfidentes 2010 (Ouro Preto- MG)Mostra Cinema no Sertão 2010 (Patos- PB) ",Prêmio de Melhor Curta do Panorama Carioca pelo Júri Popular- Curta Cinema 2009Prêmio de Melhor Direção Arte na Mostra Curtas em Vídeo - FAM 2010Prêmio Melhor Curta pelo Júri Popular Infantil- Primeiro Plano 2010,,Curta-metragem
1302,Contos da gruta (Of. Kino),"Aline Cristiane Vieira da Costa, Andr&eacute; Aquiles Pereira Giannicario, Leonardo Silva, Maiza da Mota Castro, Nattana Vaz Costa, Priscila Tomas de Sena.",Brasil,2008,5,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.",Não informado,,Curta-metragem
1303,Transtorno (Of. Kino),"Barbara Lucia Abreu Siqueira, Gislaine Camila Duarte, Leandro Mendes Bassi, Luana Veira de Oliveira.",Brasil,2008,5,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.",Não informado,,Curta-metragem
1304,De repente E.T (Of. Kino),"J&eacute;ssica Nayara Coelho Gomes, Jo&atilde;o Vitor Alves da Rocha, Mariane Barroquel Silva, Mariane Luiza Zuim, Nath&aacute;lia Ang&eacute;lica Silva. ",Brasil,2008,5,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.",Não informado,,Curta-metragem
1305,verAcidade? (Of. Kino),"Anamaria Ferreira Lucena, Fernando Augusto Pavam, Luana da Fonseca Roque, Melissa Maciel Cenachi, Paloma Rabassi.",Brasil,2008,5,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.Mostra Geração, 2009.",Não informado,,Curta-metragem
1306,Fazenda Ermida,"Gabriel da Silva Gergye, Jo&atilde;o Marcos Lacerda dos Santos, Luis Eduardo Cardoso Carreiro, Magnilson Reis Marcos, Ot&aacute;vio Aparecido Bernardes. ",Brasil,2008,4,Associação Cultural Kinoforum,"19º Festival Internacional de Curtas-Metragens de São Paulo, 2008.",Não informado,,Curta-metragem
